token_1,ws,token_2,count
INTEGER_LITERAL,1_SP,+,1969
),0_None,],1017
],0_None,;,8119
INTEGER_LITERAL,0_None,],6049
(,0_None,int,17919
IDENTIFIER,1_SP,<=,1540
<=,1_SP,IDENTIFIER,1323
++,0_None,),6812
),1_SP,<,1054
<,1_SP,INTEGER_LITERAL,2596
{,1_NL_4_SP,for,3809
},1_NL_16_SP,COMMENT,9
COMMENT,1_NL_16_SP,COMMENT,8
COMMENT,1_NL_4_SP,},2521
{,1_NL,COMMENT,111
COMMENT,1_NL_1_TB,return,8
",",1_SP,NULL_LITERAL,14197
NULL_LITERAL,0_None,",",11804
",",1_NL,IDENTIFIER,34726
{,1_NL_1_TB,while,66
(,0_None,BOOL_LITERAL,4811
return,1_SP,super,553
IDENTIFIER,1_SP,>,4703
IDENTIFIER,0_None,--,787
--,0_None,;,504
;,1_NL_2_TB,throw,2
),1_NL_2_TB,+,26
},1_NL_1_SP,},1637
+,1_SP,this,2145
",",1_SP,this,3605
{,2_NL_1_TB,int,76
IDENTIFIER,0_None,...,2141
...,1_SP,IDENTIFIER,2600
;,2_NL,int,1000
;,2_NL,void,1358
;,2_NL_1_SP,},292
return,1_SP,NULL_LITERAL,6254
;,1_NL,long,4156
",",1_SP,new,10926
),1_SP,-,2098
-,1_SP,IDENTIFIER,3724
),1_NL_3_TB,AT,2
IDENTIFIER,1_NL_3_SP,public,27
",",1_SP,boolean,6787
",",1_SP,byte,728
byte,1_SP,IDENTIFIER,2982
",",1_SP,short,75
short,1_SP,IDENTIFIER,631
",",1_SP,long,6633
",",1_SP,float,454
float,1_SP,IDENTIFIER,1911
",",1_SP,double,824
double,1_SP,IDENTIFIER,3576
byte,0_None,[,6398
IDENTIFIER,1_SP,?,2144
:,1_SP,INTEGER_LITERAL,1318
INTEGER_LITERAL,0_None,",",16668
import,1_SP,static,10016
;,2_NL,class,710
{,1_NL_2_SP,private,980
IDENTIFIER,1_NL,private,3673
{,1_NL_2_SP,this,6626
;,1_NL_2_SP,},50774
{,1_NL_2_SP,IDENTIFIER,21058
},1_NL_2_SP,},14708
(,0_None,long,2788
{,1_NL_2_SP,COMMENT,211
COMMENT,1_NL_4_SP,return,134
{,1_NL_2_SP,return,16302
IDENTIFIER,1_NL_1_TB,public,19
},2_NL_1_SP,AT,6
{,1_NL_2_SP,COMMENT,2309
COMMENT,1_NL,try,1566
INTEGER_LITERAL,1_SP,?,838
public,1_SP,long,3854
{,1_NL_2_SP,if,4946
{,1_NL_2_SP,for,1222
},1_NL,break,2146
),1_SP,%,223
%,1_SP,INTEGER_LITERAL,304
INTEGER_LITERAL,1_SP,==,793
},2_NL_2_SP,},771
;,1_NL_1_SP,},820
;,2_NL,try,1827
{,1_NL_2_SP,throw,2036
(,1_NL_4_SP,STRING_LITERAL,1900
;,1_NL_6_SP,},2396
return,1_SP,this,14719
;,2_NL_1_TB,AT,23
;,2_NL_3_TB,AT,28
;,2_NL_1_SP,public,9
{,1_NL_1_SP,COMMENT,8
{,1_NL_1_SP,IDENTIFIER,38
",",1_NL_2_SP,IDENTIFIER,201
;,1_NL_2_SP,COMMENT,30
},2_NL_1_TB,COMMENT,14
return,1_SP,-,610
new,1_SP,byte,734
return,1_SP,INTEGER_LITERAL,5235
},2_NL_1_SP,private,9
{,1_NL_1_TB,if,89
},1_NL_1_SP,COMMENT,12
COMMENT,1_NL_2_SP,},614
},2_NL_1_TB,public,5
},1_NL,boolean,332
{,1_NL_10_SP,final,3
(,0_None,NULL_LITERAL,5826
{,1_NL_5_TB,IDENTIFIER,11
(,1_NL_2_TB,IDENTIFIER,273
),1_NL_2_TB,),173
",",1_NL,STRING_LITERAL,4087
",",1_NL,(,360
},1_NL_1_SP,IDENTIFIER,4
),1_NL_4_SP,+,68
",",1_NL_4_SP,IDENTIFIER,123
final,1_SP,class,1966
COMMENT,1_NL_12_SP,if,14
public,1_SP,AT,252
AT,0_None,interface,231
),1_SP,default,465
default,1_SP,INTEGER_LITERAL,27
COMMENT,1_NL,int,1863
public,1_SP,final,3469
{,2_NL_1_TB,private,817
{,1_NL,},3069
static,1_SP,void,3458
},1_NL,public,1626
static,1_SP,boolean,1447
{,1_NL_1_TB,this,5724
;,1_NL_2_TB,COMMENT,17
{,1_NL_1_TB,final,838
{,2_NL_1_TB,COMMENT,1753
;,2_NL_2_SP,AT,6
{,1_NL_1_SP,return,17
;,1_NL_1_SP,},17
},2_NL_1_TB,private,4
},2_NL_6_SP,try,6
},2_NL_3_TB,public,113
{,1_NL_3_SP,COMMENT,5
COMMENT,1_NL_4_TB,IDENTIFIER,3
COMMENT,1_NL_4_TB,COMMENT,3
},1_NL_4_SP,COMMENT,14
COMMENT,1_NL_3_TB,},2
{,1_NL_1_TB,synchronized,102
{,2_NL_1_TB,if,1080
IDENTIFIER,1_NL,IDENTIFIER,1352
{,1_NL_1_TB,return,177
},2_NL_3_SP,AT,294
INTEGER_LITERAL,1_SP,||,732
{,1_NL_1_SP,if,4
;,1_NL_2_SP,return,68
},1_NL_5_SP,IDENTIFIER,3
(,0_None,this,19873
),1_NL,IDENTIFIER,646
NULL_LITERAL,1_SP,?,5045
?,1_SP,STRING_LITERAL,971
STRING_LITERAL,1_SP,:,938
;,1_NL_6_SP,if,4
{,1_NL_5_TB,if,1
public,1_SP,enum,1008
enum,1_SP,IDENTIFIER,1292
IDENTIFIER,1_NL_1_SP,},10
{,1_NL_3_SP,this,148
;,1_NL_3_SP,},2573
{,2_NL_2_SP,protected,201
{,1_NL_2_SP,super,1806
{,2_NL_2_SP,public,456
this,0_None,),2573
;,3_NL,public,811
{,2_NL_2_SP,private,1488
;,2_NL,protected,1840
;,1_NL,protected,2815
>,0_None,",",1538
),1_SP,!=,13903
",",1_NL_36_SP,IDENTIFIER,97
{,1_NL_32_SP,this,19
this,0_None,(,1958
>,1_SP,{,3345
{,3_NL,},9
protected,1_SP,static,1544
{,1_NL_2_SP,boolean,115
{,2_NL_2_SP,IDENTIFIER,210
;,2_NL_2_SP,},206
protected,1_SP,final,1149
],1_SP,{,1027
{,1_SP,IDENTIFIER,399
IDENTIFIER,1_SP,},347
{,2_NL_4_SP,IDENTIFIER,1726
protected,1_SP,boolean,1082
{,2_NL_4_SP,AT,1269
private,1_SP,int,3176
",",1_NL_16_SP,IDENTIFIER,546
{,1_NL_12_SP,this,29
this,1_SP,==,1140
==,1_SP,IDENTIFIER,13512
!=,1_SP,IDENTIFIER,5765
!,0_None,super,55
&&,1_NL_8_SP,IDENTIFIER,223
",",1_NL_15_SP,IDENTIFIER,97
&&,1_NL_15_SP,IDENTIFIER,59
&&,1_NL,IDENTIFIER,836
;,1_NL_27_SP,},12
(,0_None,super,236
",",1_NL_20_SP,IDENTIFIER,54
;,1_NL_24_SP,},36
+,1_NL,STRING_LITERAL,3599
COMMENT,5_NL,package,2
",",1_NL_32_SP,IDENTIFIER,79
{,1_NL_28_SP,this,44
",",1_NL_48_SP,IDENTIFIER,84
{,1_NL_44_SP,if,2
",",1_NL_47_SP,IDENTIFIER,28
{,1_NL_43_SP,IDENTIFIER,20
",",1_NL_52_SP,IDENTIFIER,31
{,1_NL_48_SP,IDENTIFIER,2
;,1_NL_52_SP,IDENTIFIER,4
;,1_NL_56_SP,},3
{,1_NL_48_SP,if,4
?,1_SP,IDENTIFIER,6315
),1_SP,:,4819
{,2_NL_48_SP,IDENTIFIER,1
return,1_SP,(,3974
?,1_SP,new,272
",",1_NL_53_SP,IDENTIFIER,30
{,1_NL_49_SP,IDENTIFIER,10
;,2_NL,for,4095
",",1_NL_27_SP,IDENTIFIER,107
),1_NL_19_SP,.,22
;,1_NL_50_SP,},11
IDENTIFIER,1_NL_4_SP,),1
",",1_NL_44_SP,IDENTIFIER,37
;,1_NL_52_SP,},5
{,1_NL_36_SP,this,17
IDENTIFIER,1_SP,),130010
+,1_SP,super,165
",",1_NL_31_SP,IDENTIFIER,98
IDENTIFIER,1_NL,),51
{,1_NL_27_SP,return,3
",",1_NL_41_SP,IDENTIFIER,34
{,1_NL_37_SP,return,6
IDENTIFIER,2_NL_32_SP,),2
",",1_NL_43_SP,IDENTIFIER,61
{,1_NL_39_SP,return,11
(,1_NL_21_SP,IDENTIFIER,4
IDENTIFIER,1_NL_21_SP,),4
",",1_NL_60_SP,IDENTIFIER,10
{,1_NL_56_SP,return,13
(,0_None,AT,3153
",",1_NL_57_SP,AT,6
{,1_NL_53_SP,return,13
;,1_NL_44_SP,},19
",",1_NL_77_SP,IDENTIFIER,11
",",1_NL_32_SP,IDENTIFIER,4
;,1_NL_49_SP,},36
private,1_SP,<,325
",",1_NL_58_SP,AT,3
{,1_NL_54_SP,return,4
",",1_NL_78_SP,IDENTIFIER,5
",",1_NL_33_SP,IDENTIFIER,2
",",1_NL_59_SP,AT,8
{,1_NL_55_SP,return,15
",",1_NL_79_SP,new,8
",",1_NL_34_SP,IDENTIFIER,8
",",1_NL_54_SP,AT,4
{,1_NL_50_SP,return,4
",",1_NL_68_SP,AT,18
{,1_NL_64_SP,return,18
",",1_NL_88_SP,IDENTIFIER,2
",",1_NL_43_SP,IDENTIFIER,2
",",1_NL_70_SP,AT,6
{,1_NL_66_SP,return,8
",",1_NL_90_SP,new,2
",",1_NL_45_SP,IDENTIFIER,28
",",1_NL_69_SP,AT,2
{,1_NL_65_SP,return,3
",",1_NL_89_SP,IDENTIFIER,2
",",1_NL_44_SP,IDENTIFIER,2
